mayed_al_ayimi|😍|1hReply
motoraddicts|🔥🔥🔥😎🤙🏽|2hReply
mamba_jamieson24|Left all day|2hReply
bart_thorburn|Both?|2hReply
"24krepair|Kawasaki Right side all day long..O'FALLON, MISSOURI 63368|2hReply"
albertpina.10|right😍|2hReply
rjjohnson38|Left|1hReply
imlilsteph2x|Right all day ❤️|1hReply
harryy_ghotra|Left for sureeeeee 🔥🔪|1hReply
jones.kye|Right for sure 🔥🔥|2hReply
jalves565|Right right right 🤞|2hReply
lifted_dakota|Left left left 🤞🏼|2hReply
willthompson9505|Left all day|46mReply
emilyrose0917_|RIGHTTTTT 😍😍😍😍 I entered last week and hope I win that H2. It’s a beauty!!!!|2hReply
christopherdavis368|Right 😭😭😭😭😭😭 @rideclutch|3mReply
cristianax03|Rightt @duscof|2hReply
the_panda_st|A nerf blaster 😍😍😍 come on I put in 2 last week am I going have to put in another 🤣🤣|1d2 likesReply|View replies (3)
lalitbiebz|She is so prettg i like her slicky|1d1 likeReply
lalitbiebz|Love you @slickerspeed|1d1 likeReply
jake_gixxer|I had to buy a shirt I didn't want. Everything else is sold out or no 2xl size. But if I win it will be my favorite shirt. Wish the inventory was better.|22h1 likeReply|View replies (1)
imlilsteph2x|Need some new gear 🔥|19h1 likeReply|View replies (1)
itsinkss|Just copped the red one|21h1 likeReply|View replies (1)
xiongy4|Restock the Men’s Bad Decisions Tshirts please!|1d1 likeReply|View replies (1)
thedwrider_mv|got the red bag 3 months ago. Lol I wear around my shoulder.|1dReply|View replies (3)
newtown009|🔥🔥🔥|1d1 likeReply
24krepair|All new gear appeal 👏|1d1 likeReply
24krepair|Ride Clutch has many followers so your helpers need bigger hands 😄|1d1 likeReply
24krepair|Need maybe a tank bag (Bra) for the ones that ride and like then.|1d1 likeReply
rideclutchryan|Sheeeeessshhhhhh🔥🔥|1dReply
jeremywillaby|I've got 1 don't wear it feels gay lol|1dReply
_lib.mcclure|I’ve been waiting for this since @blondiemotovlogs had one on in a video🥺❤️|1d1 likeReply|View replies (2)
w204finney|@rideclutch do you guys carry a Black Version|1d1 likeReply|View replies (1)
cmw603|@scottypopshots there ya go bub|1d1 likeReply|View replies (1)
coletonwilkinson|Can i win both bikes and no cash? 🤣💯🔥|7h1 likeReply|View replies (1)
rob_918|I’ve always been team Honda so it’d have to be the fireblade for me! H2 is clean though|20h1 likeReply|View replies (1)
willamomof6|After raising 6 kids & still have one at home I'll take whichever one you give me after I take the class to learn to ride. I always wanted to do but could never afford because I always made sure my kids had what they needed|18h1 likeReply|View replies (1)
pay.day.9250|H2|2d2 likesReply
kenny_kiana|H2|2d2 likesReply
babysteez_|H2 for sure!|20h2 likesReply
basicwhitegirl91|H2|1d2 likesReply
holliday010|H2 !🔥|1d2 likesReply
chris.bow|H2|1d2 likesReply
skcfinch|H2|1d2 likesReply
imlilsteph2x|H2 😍|1d2 likesReply
bigfoot_sports_marketing|That fireblade gives me a chub just looking at it. I have wet dreams of taking it through Washington mountain roads.|2d1 likeReply
traveling_edits|Osmm bro H2🔥😍|1d2 likesReply
jaycebrooks601|H2 🔥🔥🔥|1d2 likesReply
_.jackleeturner|Get your finger prints off my h2 ;)|1d2 likesReply
mistermopar340|H2R all day|1d2 likesReply
russell_rehh|Cbr|1d1 likeReply
centolajoseph|🔥🔥🔥🔥|2d1 likeReply
lifted_pear|H2|20h1 likeReply
pejantantangguh400|👏|1d1 likeReply
mmoron6o7|The grom 😂😂|2d1 likeReply
centolajoseph|CBR 1000 sending love support and respect from Boston 💯💖💙|2d1 likeReply
siumpgoid_|H2 fs🥵|2d2 likesReply
okta_andrica|CBR1000RRrrrrrrrrrrrrr....😂😂😂|1d1 likeReply
nick_hydra|Def the Honda😍🔥|15h1 likeReply
wolffvkng|Always the Honda against anything|1d1 likeReply
thomasj1778|Must be nice 👍🏽|1d1 likeReply
sarathks31|🔥🔥|1d1 likeReply
"nhildbold|Honda baby, let’s go.!!|8h1 likeReply"
"jqureshi4943|Super hard choice, but I’m going with the H2!|16h1 likeReply"
iam_cdj1|I been Honda all all my life I be Dam if i don’t take the fireblade over the h2r ‼️|2d2 likesReply
donstrength120|H2!!!|2d2 likesReply
"reckless_lyfestyle|Well, if we had a choice it would have to be the H2! Who could say no to all that power! 🔥|1d2 likesReply"
bird187_|H2|2d1 likeReply
ender_vince|H2|1d1 likeReply
_bryan008|H2🔥|2d1 likeReply
samborghini_04|H2|1d1 likeReply
envy_5.0|H2 all day lol the fireblade looks great but that h2 hits different|1d1 likeReply
live_2_shift|H2!!🔥|2d1 likeReply
gcrance_31|H2 is 🔥🔥|1d1 likeReply
jalves565|H2 please|1d1 likeReply
that_one_guy_matt1|H2 all day|1d1 likeReply
dorianhafer|H2🤯|1d1 likeReply
lijah_81|H2💯|2d1 likeReply
maddyalivia7|h2 pls|1d1 likeReply
realeladio|Fireblade🔥|2dReply
redcbrboy|SP|1dReply
lifted_dakota|CBR|1dReply
iellison82|Honda it'll sit nice next with gsxr 1000r|1dReply
brandon_doherty|Squid mode!!!🦑|1dReply
seanocam123|Both 😍😍👊✊🏍💨|1dReply
willthompson9505|Cbr1000 fireblade|2dReply
wiggins__15|That H2 would sit pretty next to the zx10r 😍|1dReply
stunticon_jay|Bro where yall be ridin at. It looks like u guys are in AZ also. Im oit here in Goodyear|1dReply
supersixfour_ltw|Taking the Honda. And im a Kawasaki guy. But those H2 are all hype man. If it was a ZX10 be a different story 💯🤙🏻|1dReply
tristan_duffey44|H2 all day everyday|1dReply
ivantheegr3at|Honda vs kawi.....never riden a kawi so I'll go for the kawi|1dReply
"_.slugz._|Either one , there both phenomenal bikes 🤘🏽🤞🏽🤞🏽🤞🏽🤞🏽|1dReply"
tracy37931|I'm a Kawasaki guy but that H2 wouldn't be practical here in east Tennessee. Too many curves.|2dReply
"epps3858|Hmm Black & Green, yes the decision came down to color. Kawi or Hon, black/green.|2dReply"
"thedwrider_mv|Definitely H2 or $30K to pay off all of my debts ( $14,945 )|1dReply"
theyellowflash1|H2 thanks too @thekilacam on the video riding @hulkrider76 monster machine|2dReply
"trotlip20|Honestly, I could be happy with either. But if I do recall, @derwek said he gets to keep whichever bike isn't chosen so I might just work out a deal with him that benefits us both 😂|2d1 likeReply"
dudleydub|How did yall know I wanted I grom 😮|6h1 likeReply|View replies (1)
"mmoron6o7|How long is this, and do we have to buy extra or can our normal membership renewal work|2d1 likeReply|View replies (2)"
24krepair|Looks very fun.. But it could be one of them...🤔 HEY HOLD MY BEER!! WATCH THIS¡¡ 🤭|2d1 likeReply|View replies (1)
24krepair|Buy everything Ride Clutch has you wont go wrong with nothing its the sport we ride for helping each other.. Plus a rider likes anything dealing with bikes. Appeal to a sticker we love it ..|1d1 likeReply|View replies (1)
alessandro_fig|So if im already a silver member im entered??|2dReply|View replies (1)
setherwhite|Is the membership giveaway the same day as the other one?|2dReply|View replies (3)
jctworld|💛💛💛|2d1 likeReply
imlilsteph2x|Just got the membership 🔥🔥|2d1 likeReply
"24krepair|We have a lot of bike shops around my area. The labor is still high priced at $115.00 HR. Maybe that's why I always have work, im not a high mechanic..|2d1 likeReply"
24krepair|But I was told by many in Missouri. 🤔 That is not the reason 24-k the reason being we are the show me state.. So you can ride you say... 🤗Yes I can ride why 😄 Here Show me I'm from Missouri.. 🧐😮 OMG!! ON YOUR BIKE THAT'S OUT OF LINE CRAP IS LOSE ON IT... 😄😄 Ok now I see why bikes are so cheep here everyone Crashes tring to show you in unsafe junk... 🤫 Im not born here only here to collect 🏍️ and 🤑..|2d1 likeReply
trishax18|🔥🔥|2dReply
b6trash|Which ever one i win|2d3 likesReply|View replies (1)
ericcurry17|You best believe all day that H2|7h1 likeReply|View replies (1)
hueco1mundo|H2|2d4 likesReply
alphatango84|there is no wrong answer ... but H2!|2d4 likesReply
krispratomo|Fireblade🔥|2d3 likesReply
coletonwilkinson|Both choices are the right answer 😉🔥🔥🔥|2d3 likesReply
scott_danger_gillespie|H2 all day !!!!!🔥🔥🔥|2d2 likesReply
rd_mech_46|H2😍🔥|2d1 likeReply
hwkmotorsports|😍😍😍|2d1 likeReply
sa_blockay|Honda.|2d1 likeReply
centolajoseph|🔥🔥🔥🔥|2d1 likeReply
trz_mythix|H2|2d1 likeReply
saaduuu___|SUPERCHARGED H2 💥⚡❤️|2d1 likeReply
footstepsdressedinred|Can I think about it?|2d1 likeReply
dirtrider374|Honda|2d1 likeReply
jalves565|👏🙌h2|2d1 likeReply
bailey_mans202|H2|1d1 likeReply
jerichotrujillo29|H2|2d1 likeReply
i_am_classifi3d__|H2|2d1 likeReply
iellison82|Honda|2d1 likeReply
gorwolf_|🔥🔥🔥🔥👏|2d1 likeReply
408cbr|Honda 🔥|2d1 likeReply
cmjs147|🔥🔪|2d1 likeReply
captain_diman|Honda|2d1 likeReply
jaycebrooks601|H2|1d1 likeReply
imlilsteph2x|H2 all day baby!!!!|2d1 likeReply
traveling_edits|H2.. 🔥|2d1 likeReply
centolajoseph|Sending love support and respect from Boston 💯💖💙|2d1 likeReply
"wolffvkng|Honda, Honda, Honda..😍|2d1 likeReply"
willthompson9505|Cbr1000|2d1 likeReply
xavgutierrez|🔥🔪 Fireblade of course!|2d1 likeReply
stupidfa5t_bone|Kawi even tho imma yami head|2d1 likeReply
